symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,model
3,alfa-romeo,gas,std,2,convertible,rwd,front,225.04,428.75,162.81,123.95,1155.75,dohc,4,130,mpfi,3.47,2.68,9.0,111,5000,21,27,13495.0,giulia
3,alfa-romeo,gas,std,2,convertible,rwd,front,225.04,428.75,162.81,123.95,1155.75,dohc,4,130,mpfi,3.47,2.68,9.0,111,5000,21,27,16500.0,stelvio
1,alfa-romeo,gas,std,2,hatchback,rwd,front,240.03,434.85,166.37,133.1,1280.49,ohcv,6,152,mpfi,2.68,3.47,9.0,154,5000,19,26,16500.0,Quadrifoglio
2,audi,gas,std,4,sedan,fwd,front,253.49,448.56,168.15,137.92,1060.05,ohc,4,109,mpfi,3.19,3.4,10.0,102,5500,24,30,13950.0,100 ls
2,audi,gas,std,4,sedan,4wd,front,252.48,448.56,168.66,137.92,1280.94,ohc,5,136,mpfi,3.19,3.4,8.0,115,5500,18,22,17450.0,100ls
2,audi,gas,std,2,sedan,fwd,front,253.49,450.34,168.4,134.87,1137.16,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250.0,fox
1,audi,gas,std,4,sedan,fwd,front,268.73,489.46,181.36,141.48,1290.02,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710.0,100ls
1,audi,gas,std,4,wagon,fwd,front,268.73,489.46,181.36,141.48,1339.91,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920.0,5000
1,audi,gas,turbo,4,sedan,fwd,front,268.73,489.46,181.36,141.99,1399.79,ohc,5,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875.0,4000
0,audi,gas,turbo,2,hatchback,4wd,front,252.73,452.63,172.47,132.08,1384.82,ohc,5,131,mpfi,3.13,3.4,7.0,160,5500,16,22,17859.167,5000s (diesel)
2,bmw,gas,std,2,sedan,rwd,front,257.05,449.07,164.59,137.92,1086.35,ohc,4,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430.0,320i
0,bmw,gas,std,4,sedan,rwd,front,257.05,449.07,164.59,137.92,1086.35,ohc,4,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925.0,320i
0,bmw,gas,std,2,sedan,rwd,front,257.05,449.07,164.59,137.92,1229.24,ohc,6,164,mpfi,3.31,3.19,9.0,121,4250,21,28,20970.0,x1
0,bmw,gas,std,4,sedan,rwd,front,257.05,449.07,164.59,137.92,1254.18,ohc,6,164,mpfi,3.31,3.19,9.0,121,4250,21,28,21105.0,x3
1,bmw,gas,std,4,sedan,rwd,front,262.89,480.06,169.93,141.48,1385.72,ohc,6,164,mpfi,3.31,3.19,9.0,121,4250,20,25,24565.0,z4
0,bmw,gas,std,4,sedan,rwd,front,262.89,480.06,169.93,141.48,1465.1,ohc,6,209,mpfi,3.62,3.39,8.0,182,5400,16,22,30760.0,x4
0,bmw,gas,std,2,sedan,rwd,front,262.89,492.25,172.47,136.4,1533.14,ohc,6,209,mpfi,3.62,3.39,8.0,182,5400,16,22,41315.0,x5
0,bmw,gas,std,4,sedan,rwd,front,279.4,500.38,180.09,143.0,1589.84,ohc,6,209,mpfi,3.62,3.39,8.0,182,5400,15,20,36880.0,x3
2,chevrolet,gas,std,2,hatchback,fwd,front,224.54,358.39,153.16,135.13,674.95,l,3,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151.0,impala
1,chevrolet,gas,std,2,hatchback,fwd,front,240.03,395.99,161.54,132.08,850.03,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295.0,monte carlo
0,chevrolet,gas,std,4,sedan,fwd,front,240.03,403.35,161.54,132.08,865.91,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575.0,vega 2300
1,dodge,gas,std,2,hatchback,fwd,front,238.0,399.54,162.05,129.03,850.94,ohc,4,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572.0,rampage
1,dodge,gas,std,2,hatchback,fwd,front,238.0,399.54,162.05,129.03,850.94,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377.0,challenger se
1,dodge,gas,turbo,2,hatchback,fwd,front,238.0,399.54,162.05,129.03,965.24,ohc,4,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957.0,d200
1,dodge,gas,std,4,hatchback,fwd,front,238.0,399.54,162.05,128.52,892.22,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229.0,monaco (sw)
1,dodge,gas,std,4,sedan,fwd,front,238.0,399.54,162.05,128.52,902.2,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692.0,colt hardtop
1,dodge,gas,std,4,sedan,fwd,front,238.0,399.54,162.05,128.52,902.2,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609.0,colt (sw)
1,dodge,gas,turbo,2,sedan,fwd,front,238.0,399.54,162.05,128.52,993.82,ohc,4,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558.0,coronet custom
-1,dodge,gas,std,4,wagon,fwd,front,262.38,443.48,164.08,151.89,1149.86,ohc,4,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921.0,dart custom
3,dodge,gas,turbo,2,hatchback,fwd,front,243.59,439.93,168.4,127.51,1275.05,ohc,4,156,mfi,3.6,3.9,7.0,145,5000,19,24,12964.0,coronet custom (sw)
2,honda,gas,std,2,hatchback,fwd,front,219.96,367.28,162.31,129.03,777.0,ohc,4,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479.0,civic
2,honda,gas,std,2,hatchback,fwd,front,219.96,367.28,162.31,129.03,825.08,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855.0,civic cvcc
1,honda,gas,std,2,hatchback,fwd,front,238.0,381.0,162.56,133.6,833.25,ohc,4,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399.0,civic
1,honda,gas,std,2,hatchback,fwd,front,238.0,381.0,162.56,133.6,879.97,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529.0,accord cvcc
1,honda,gas,std,2,hatchback,fwd,front,238.0,381.0,162.56,133.6,887.23,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129.0,civic cvcc
0,honda,gas,std,4,sedan,fwd,front,245.11,415.04,162.56,138.43,911.72,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295.0,accord lx
0,honda,gas,std,4,wagon,fwd,front,245.11,399.03,162.31,148.08,918.07,ohc,4,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295.0,civic 1500 gl
0,honda,gas,std,2,hatchback,fwd,front,245.11,425.45,165.61,135.38,1014.23,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,27,33,7895.0,accord
0,honda,gas,std,2,hatchback,fwd,front,245.11,425.45,165.61,135.38,1038.27,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,27,33,9095.0,civic 1300
0,honda,gas,std,4,sedan,fwd,front,245.11,445.52,165.61,137.41,1045.08,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,27,33,8845.0,prelude
0,honda,gas,std,4,sedan,fwd,front,245.11,445.52,158.75,137.41,1075.92,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,27,33,10295.0,accord
0,honda,gas,std,4,sedan,fwd,front,245.11,445.52,165.61,137.41,1118.11,ohc,4,110,mpfi,3.15,3.58,9.0,101,5800,24,28,12945.0,civic
1,honda,gas,std,2,sedan,fwd,front,245.11,429.51,167.64,129.54,1040.09,ohc,4,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345.0,civic (auto)
0,isuzu,gas,std,4,sedan,rwd,front,239.52,433.58,156.97,135.89,1060.05,ohc,4,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785.0,MU-X
1,isuzu,gas,std,2,sedan,fwd,front,240.03,395.99,161.54,132.08,850.03,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5,D-Max 
0,isuzu,gas,std,4,sedan,fwd,front,240.03,395.99,161.54,132.08,865.91,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5,D-Max V-Cross
2,isuzu,gas,std,2,hatchback,rwd,front,243.84,438.4,165.61,130.56,1240.12,ohc,4,119,spfi,3.43,3.23,9.2,90,5000,24,29,11048.0,D-Max 
0,jaguar,gas,std,4,sedan,rwd,front,287.02,506.98,176.78,134.11,1844.31,dohc,6,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250.0,xj
0,jaguar,gas,std,4,sedan,rwd,front,287.02,506.98,176.78,134.11,1844.31,dohc,6,258,mpfi,3.63,4.17,8.1,176,4750,15,19,35550.0,xf
0,jaguar,gas,std,2,sedan,rwd,front,259.08,486.92,179.32,121.41,1791.69,ohcv,12,326,mpfi,3.54,2.76,11.5,262,5000,13,17,36000.0,xk
1,mazda,gas,std,2,hatchback,fwd,front,236.47,404.11,163.07,137.41,857.29,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,30,31,5195.0,rx3
1,mazda,gas,std,2,hatchback,fwd,front,236.47,404.11,163.07,137.41,861.83,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6095.0,glc deluxe
1,mazda,gas,std,2,hatchback,fwd,front,236.47,404.11,163.07,137.41,864.09,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6795.0,rx2 coupe
1,mazda,gas,std,4,sedan,fwd,front,236.47,423.67,163.07,137.41,882.24,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6695.0,rx-4
1,mazda,gas,std,4,sedan,fwd,front,236.47,423.67,163.07,137.41,884.51,ohc,4,91,2bbl,3.08,3.15,9.0,68,5000,31,38,7395.0,glc deluxe
3,mazda,gas,std,2,hatchback,rwd,front,242.06,429.26,166.88,125.98,1079.55,rotor,2,70,4bbl,3.33,3.255,9.4,101,6000,17,23,10945.0,626
3,mazda,gas,std,2,hatchback,rwd,front,242.06,429.26,166.88,125.98,1079.55,rotor,2,70,4bbl,3.33,3.255,9.4,101,6000,17,23,11845.0,glc
3,mazda,gas,std,2,hatchback,rwd,front,242.06,429.26,166.88,125.98,1081.82,rotor,2,70,4bbl,3.33,3.255,9.4,101,6000,17,23,13645.0,rx-7 gs
3,mazda,gas,std,2,hatchback,rwd,front,242.06,429.26,166.88,125.98,1133.98,rotor,2,80,mpfi,3.33,3.255,9.4,135,6000,16,23,15645.0,glc 4
1,mazda,gas,std,2,hatchback,fwd,front,250.95,451.61,168.91,136.4,1081.82,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845.0,626
0,mazda,gas,std,4,sedan,fwd,front,250.95,451.61,168.91,140.97,1093.16,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495.0,glc custom l
1,mazda,gas,std,2,hatchback,fwd,front,250.95,451.61,168.91,136.4,1081.82,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595.0,glc custom
0,mazda,gas,std,4,sedan,fwd,front,250.95,451.61,168.91,140.97,1093.16,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245.0,rx-4
0,mazda,diesel,std,4,sedan,fwd,front,250.95,451.61,168.91,140.97,1108.13,ohc,4,122,idi,3.39,3.39,22.7,64,4650,36,42,10795.0,glc deluxe
0,mazda,gas,std,4,hatchback,fwd,front,250.95,451.61,168.91,140.97,1099.96,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245.0,626
0,mazda,gas,std,4,sedan,rwd,front,266.45,444.5,167.89,138.18,1211.09,ohc,4,140,mpfi,3.76,3.16,8.0,120,5000,19,27,18280.0,glc
0,mazda,diesel,std,4,sedan,rwd,front,266.45,444.5,167.89,138.18,1224.7,ohc,4,134,idi,3.43,3.64,22.0,72,4200,31,39,18344.0,rx-7 gs
-1,buick,diesel,turbo,4,sedan,rwd,front,279.4,484.89,178.56,143.51,1594.38,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,25552.0,electra 225 custom
-1,buick,diesel,turbo,4,wagon,rwd,front,279.4,484.89,178.56,149.1,1700.97,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,28248.0,century luxus (sw)
0,buick,diesel,turbo,2,hardtop,rwd,front,271.02,476.25,178.56,139.45,1585.31,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,28176.0,century
-1,buick,diesel,turbo,4,sedan,rwd,front,293.62,514.6,182.12,143.0,1710.04,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,31600.0,skyhawk
-1,buick,gas,std,4,sedan,rwd,front,293.62,514.6,182.12,143.51,1696.44,ohcv,8,234,mpfi,3.46,3.1,8.3,155,4750,16,18,34184.0,opel isuzu deluxe
3,buick,gas,std,2,convertible,rwd,front,245.36,457.96,179.07,129.03,1671.49,ohcv,8,234,mpfi,3.46,3.1,8.3,155,4750,16,18,35056.0,skylark
0,buick,gas,std,4,sedan,rwd,front,307.09,528.57,182.12,144.02,1769.01,ohcv,8,308,mpfi,3.8,3.35,8.0,184,4500,14,16,40960.0,century special
1,buick,gas,std,2,hardtop,rwd,front,284.48,505.97,182.88,140.72,1685.1,ohcv,8,304,mpfi,3.8,3.35,8.0,184,4500,14,16,45400.0,regal sport coupe (turbo)
1,mercury,gas,turbo,2,hatchback,rwd,front,260.86,453.14,172.72,139.19,1319.95,ohc,4,140,mpfi,3.78,3.12,8.0,175,5000,19,24,16503.0,cougar
2,mitsubishi,gas,std,2,hatchback,fwd,front,238.0,399.54,163.58,129.03,869.99,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389.0,mirage
2,mitsubishi,gas,std,2,hatchback,fwd,front,238.0,399.54,163.58,129.03,881.78,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189.0,lancer
2,mitsubishi,gas,std,2,hatchback,fwd,front,238.0,399.54,163.58,129.03,909.0,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669.0,outlander
1,mitsubishi,gas,turbo,2,hatchback,fwd,front,236.22,399.54,162.05,129.03,972.96,ohc,4,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689.0,g4
3,mitsubishi,gas,turbo,2,hatchback,fwd,front,244.6,439.42,166.12,125.48,1075.01,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959.0,mirage g4
3,mitsubishi,gas,std,2,hatchback,fwd,front,244.6,439.42,166.12,125.48,1055.96,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499.0,g4
3,mitsubishi,gas,turbo,2,hatchback,fwd,front,243.59,439.93,168.4,127.51,1285.03,ohc,4,156,spdi,3.58,3.86,7.0,145,5000,19,24,12629.0,outlander
3,mitsubishi,gas,turbo,2,hatchback,fwd,front,243.59,439.93,168.4,127.51,1324.94,ohc,4,156,spdi,3.59,3.86,7.0,145,5000,19,24,14869.0,g4
3,mitsubishi,gas,turbo,2,hatchback,fwd,front,243.59,439.93,168.4,127.51,1327.21,ohc,4,156,spdi,3.59,3.86,7.0,145,5000,19,24,14489.0,mirage g4
1,mitsubishi,gas,std,4,sedan,fwd,front,244.6,437.9,166.12,131.06,1072.75,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989.0,montero
1,mitsubishi,gas,std,4,sedan,fwd,front,244.6,437.9,166.12,131.06,1090.89,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189.0,pajero
1,mitsubishi,gas,turbo,4,sedan,fwd,front,244.6,437.9,166.12,131.06,1089.98,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279.0,outlander
-1,mitsubishi,gas,std,4,sedan,fwd,front,244.6,437.9,166.12,131.06,1089.98,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279.0,mirage g4
1,nissan,gas,std,2,sedan,fwd,front,240.03,419.86,162.05,138.43,856.84,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499.0,versa
1,nissan,diesel,std,2,sedan,fwd,front,240.03,419.86,162.05,138.43,914.9,ohc,4,103,idi,2.99,3.47,21.9,55,4800,45,50,7099.0,gt-r
1,nissan,gas,std,2,sedan,fwd,front,240.03,419.86,162.05,138.43,869.99,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649.0,rogue
1,nissan,gas,std,4,sedan,fwd,front,240.03,419.86,162.05,138.43,879.06,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849.0,latio
1,nissan,gas,std,4,wagon,fwd,front,240.03,432.31,162.05,135.89,918.07,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349.0,titan
1,nissan,gas,std,2,sedan,fwd,front,240.03,419.86,162.05,138.43,884.96,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299.0,leaf
1,nissan,gas,std,2,hatchback,fwd,front,240.03,420.62,162.05,135.38,919.89,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799.0,juke
